what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1382380434907
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1382380435719
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1382380458341
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Resume",1382380458399
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1382380474351
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1382380476792
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1382384063887
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382384065053
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382384066348
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382384066574
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382384072985
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382384073896
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382384073990
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382384074583
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382384087203
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382384113068
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1382384117857
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1382384117857
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.perspectives.showPerspective",1382384117888
executed,command,,,"com.altera.sbtgui.ui.cPerspective",1382384117888
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382384119542
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382384210178
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382384210194
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1382384212269
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382384212269
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1382384216621
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1382384222237
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.debugPerspective",1382384222237
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.perspectives.showPerspective",1382384222237
