what,kind,bundleId,bundleVersion,description,time
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1382471533811
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1382471533934
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1382471534127
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1382471542028
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.StepInto",1382471542096
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382471550337
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382471571209
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382471572164
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382471573020
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1382471573041
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1382471575572
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382471575854
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382471580058
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1382471592090
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1382471595307
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1382471601298
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1382471604325
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Resume",1382471604326
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Resume",1382471612737
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382471626621
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382471628619
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382471629330
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382471634934
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382471635853
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382471640508
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382471644734
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382471652141
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382471652911
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382471653813
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1382471653857
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1382471654799
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382471655087
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382471656641
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1382471666052
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382471667219
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382471668989
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1382471668992
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1382471675378
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1382471689712
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Resume",1382471689781
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.StepOver",1382471698558
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.StepOver",1382471714742
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.StepOver",1382471715366
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.StepOver",1382471715942
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.StepOver",1382471716542
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1382471724342
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1382471724382
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1382471724382
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1382471725862
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1382471726462
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1382471727376
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.RegisterView",1382471727973
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1382471736334
